date,DEXUSUK
2015-12-07,1.9692
2015-12-08,1.9628
2015-12-09,1.9564
2015-12-10,1.9552
2015-12-11,1.9655
2015-12-14,1.9663
2015-12-15,1.9646
2015-12-16,1.9538
2015-12-17,1.9458
2015-12-18,1.9666
2015-12-21,1.9648
2015-12-22,1.9622
2015-12-23,1.957
2015-12-25,1.9568
2015-12-28,1.9566
2015-12-29,1.9621
2015-12-30,1.9586
2016-01-01,1.9736
2016-01-04,1.9498
2016-01-05,1.9443
2016-01-06,1.9305
2016-01-07,1.9385
2016-01-08,1.94
2016-01-11,1.9334
2016-01-12,1.9439
2016-01-13,1.9577
2016-01-15,1.9605
2016-01-18,1.972
2016-01-19,1.9715
2016-01-20,1.9759
2016-01-21,1.9772
2016-01-22,1.9847
2016-01-25,1.9675
2016-01-26,1.9703
2016-01-27,1.9598
2016-01-28,1.9592
2016-01-29,1.9617
2016-02-01,1.9611
2016-02-02,1.9686
2016-02-03,1.9662
2016-02-04,1.96
2016-02-05,1.9693
2016-02-08,1.9699
2016-02-09,1.9586
2016-02-10,1.9512
2016-02-11,1.9474
2016-02-12,1.9443
2016-02-15,1.9628
2016-02-16,1.9532
2016-02-17,1.9499
2016-02-19,1.9547
2016-02-22,1.9524
2016-02-23,1.9571
2016-02-24,1.9639
2016-02-25,1.9631
2016-02-26,1.9661
2016-02-29,1.9613
2016-03-01,1.9579
2016-03-02,1.9458
2016-03-03,1.9235
2016-03-04,1.927
2016-03-07,1.9315
2016-03-08,1.93
2016-03-09,1.9318
2016-03-10,1.9291
2016-03-11,1.9322
2016-03-14,1.9337
2016-03-15,1.9365
2016-03-16,1.9423
2016-03-17,1.946
2016-03-18,1.958
2016-03-21,1.9596
2016-03-22,1.9672
2016-03-23,1.9632
2016-03-24,1.9694
2016-03-25,1.9664
2016-03-28,1.9611
2016-03-29,1.9627
2016-03-30,1.9685
2016-03-31,1.9786
2016-04-01,1.9781
2016-04-04,1.9756
2016-04-05,1.9708
2016-04-06,1.9655
2016-04-07,1.9608
2016-04-08,1.9718
2016-04-11,1.9786
2016-04-12,1.9769
2016-04-13,1.9829
2016-04-14,1.9907
2016-04-15,2.0061
2016-04-18,2.0041
2016-04-19,2.0029
2016-04-20,2.0047
2016-04-21,2.0017
2016-04-22,2.0028
2016-04-25,2.0042
2016-04-26,1.9903
2016-04-27,1.9985
2016-04-28,2.0
2016-04-29,1.9993
2016-05-02,1.991
2016-05-03,1.9878
2016-05-04,1.9931
2016-05-05,1.9944
2016-05-06,1.9902
2016-05-09,1.9963
2016-05-10,1.9833
2016-05-11,1.9824
2016-05-12,1.9803
2016-05-13,1.9862
2016-05-16,1.9774
2016-05-17,1.9748
2016-05-18,1.9755
2016-05-19,1.9695
2016-05-20,1.9768
2016-05-23,1.9879
2016-05-24,1.9852
2016-05-25,1.9845
2016-05-27,1.9814
2016-05-30,1.9747
2016-05-31,1.9797
2016-06-01,1.9804
2016-06-02,1.9922
2016-06-03,1.9941
2016-06-06,1.9915
2016-06-07,1.9798
2016-06-08,1.9657
2016-06-09,1.9686
2016-06-10,1.975
2016-06-13,1.9728
2016-06-14,1.9696
2016-06-15,1.9765
2016-06-16,1.9822
2016-06-17,1.9884
2016-06-20,1.9937
2016-06-21,1.9924
2016-06-22,1.9975
2016-06-23,1.9962
2016-06-24,1.9997
2016-06-27,1.9965
2016-06-28,2.0022
2016-06-29,2.0063
2016-06-30,2.0161
2016-07-01,2.0168
2016-07-05,2.0114
2016-07-06,2.0119
2016-07-07,2.0166
2016-07-08,2.0248
2016-07-11,2.032
2016-07-12,2.0288
2016-07-13,2.0344
2016-07-14,2.0374
2016-07-15,2.0455
2016-07-18,2.0534
2016-07-19,2.049
2016-07-20,2.0566
2016-07-21,2.0585
2016-07-22,2.0626
2016-07-25,2.0511
2016-07-26,2.0488
2016-07-27,2.029
2016-07-28,2.0238
2016-07-29,2.0364
2016-08-01,2.0309
2016-08-02,2.0346
2016-08-03,2.0426
2016-08-04,2.0293
2016-08-05,2.0202
2016-08-08,2.0368
2016-08-09,2.0271
2016-08-10,2.0219
2016-08-11,2.0123
2016-08-12,2.0
2016-08-15,1.9923
2016-08-16,1.9829
2016-08-17,1.9828
2016-08-18,1.983
2016-08-19,1.9813
2016-08-22,1.9916
2016-08-23,2.0035
2016-08-24,2.0099
2016-08-25,2.0134
2016-08-26,2.0065
2016-08-29,2.0182
2016-08-30,2.016
2016-08-31,2.0165
2016-09-01,2.0165
2016-09-02,2.0109
2016-09-05,2.0221
2016-09-06,2.0242
2016-09-07,2.0283
2016-09-08,2.0288
2016-09-09,2.0319
2016-09-12,2.0314
2016-09-13,2.0278
2016-09-14,2.0067
2016-09-15,1.992
2016-09-16,1.9973
2016-09-19,1.9983
2016-09-20,2.0132
2016-09-21,2.0208
2016-09-22,2.0222
2016-09-23,2.0169
2016-09-26,2.0159
2016-09-27,2.0235
2016-09-28,2.0389
2016-09-29,2.0436
2016-09-30,2.0417
2016-10-03,2.0369
2016-10-04,2.0392
2016-10-05,2.0436
2016-10-06,2.0436
2016-10-07,2.0331
2016-10-10,2.0432
2016-10-11,2.0342
2016-10-12,2.034
2016-10-13,2.0419
2016-10-14,2.0327
2016-10-17,2.0387
2016-10-18,2.0457
2016-10-19,2.0484
2016-10-20,2.0279
2016-10-21,2.0495
2016-10-24,2.0491
2016-10-25,2.0485
2016-10-26,2.0514
2016-10-27,2.0609
2016-10-28,2.0671
2016-10-31,2.0777
2016-11-01,2.0818
2016-11-02,2.082
2016-11-03,2.0799
2016-11-04,2.0859
2016-11-07,2.1045
2016-11-08,2.1104
2016-11-09,2.0911
2016-11-11,2.0729
2016-11-14,2.0586
2016-11-15,2.0483
2016-11-16,2.048
2016-11-17,2.0478
2016-11-18,2.0652
2016-11-21,2.0585
2016-11-22,2.0585
2016-11-23,2.0564
2016-11-24,2.0681
2016-11-25,2.0653
2016-11-28,2.0688
2016-11-29,2.0642
2016-11-30,2.0567
2016-12-01,2.0658
2016-12-02,2.0577
2016-12-05,2.0288
2016-12-06,2.0289
2016-12-07,2.0289
2016-12-08,2.0457
2016-12-09,2.0387
2016-12-12,2.0494
2016-12-13,2.0395
2016-12-14,2.0197
2016-12-15,2.0168
2016-12-16,2.014
2016-12-19,1.9931
2016-12-20,1.9821
2016-12-21,1.9833
2016-12-22,1.9774
2016-12-26,1.9833
2016-12-27,1.9907
2016-12-28,1.9929
